Date,Open,High,Low,Close,Volume
01/10/2024,"141.00","143.00","140.91","142.28","21,320,199"
01/09/2024,"138.50","141.49","138.15","140.95","24,759,600"
01/08/2024,"136.29","139.01","136.26","138.84","21,403,980"
01/05/2024,"136.75","137.16","135.15","135.73","22,513,850"
01/04/2024,"138.42","139.16","136.35","136.39","27,137,740"
01/03/2024,"137.25","139.63","137.08","138.92","24,212,150"
01/02/2024,"138.55","139.45","136.48","138.17","23,711,221"
12/29/2023,"139.63","140.36","138.78","139.69","18,733,020"
12/28/2023,"140.78","141.14","139.75","140.23","16,045,710"
12/27/2023,"141.59","142.08","139.89","140.37","19,628,619"
12/26/2023,"141.59","142.68","141.19","141.52","16,780,330"
12/22/2023,"140.77","141.99","140.71","141.49","26,532,199"
12/21/2023,"139.49","140.69","139.18","140.42","27,488,279"
12/20/2023,"138.97","141.70","138.07","138.34","49,107,180"
12/19/2023,"136.84","137.47","136.08","136.65","25,476,750"
12/18/2023,"132.63","137.15","132.43","135.80","32,257,971"
12/15/2023,"131.62","133.51","131.18","132.60","50,847,113"
12/14/2023,"133.38","133.72","129.69","131.94","38,722,406"
12/13/2023,"133.38","133.50","131.57","132.57","30,104,779"
12/12/2023,"131.81","133.00","131.26","132.52","29,032,830"
12/11/2023,"132.38","133.34","131.36","133.29","31,138,010"
12/08/2023,"134.20","136.40","134.03","134.99","32,260,109"
12/07/2023,"135.04","138.56","134.70","136.93","56,767,102"
12/06/2023,"131.44","131.84","129.88","130.02","23,576,180"
12/05/2023,"128.95","132.14","128.25","130.99","27,384,779"
12/04/2023,"129.88","130.03","127.90","129.27","36,669,879"
12/01/2023,"131.86","132.11","130.67","131.86","31,442,260"
11/30/2023,"135.05","135.55","131.28","132.53","38,988,262"
11/29/2023,"137.57","138.29","134.84","134.99","23,967,221"
11/28/2023,"136.08","137.25","135.42","137.20","18,730,029"
11/27/2023,"136.03","138.42","136.00","136.41","23,436,529"
11/24/2023,"138.03","138.13","135.99","136.69","12,514,320"
11/22/2023,"137.47","139.42","137.47","138.49","17,820,461"
11/21/2023,"136.29","137.18","135.96","136.97","22,635,270"
11/20/2023,"133.69","136.66","133.62","136.25","27,850,760"
11/17/2023,"136.00","136.06","133.65","135.31","37,287,688"
11/16/2023,"135.19","137.22","134.32","136.93","28,013,180"
11/15/2023,"134.87","135.03","133.57","134.62","23,861,520"
11/14/2023,"134.19","135.70","133.32","133.62","32,395,180"
11/13/2023,"131.78","132.59","131.25","132.09","18,324,750"
11/10/2023,"130.11","132.80","129.41","132.59","26,927,830"
11/09/2023,"131.96","132.55","130.07","130.24","23,747,770"
11/08/2023,"130.97","132.21","130.78","131.84","26,425,850"
11/07/2023,"130.71","131.91","129.88","130.97","29,757,279"
11/06/2023,"129.05","130.34","128.67","130.25","19,052,740"
11/03/2023,"128.02","129.53","127.86","129.10","26,393,109"
11/02/2023,"128.42","128.98","126.93","127.49","27,124,650"
11/01/2023,"124.07","126.49","123.72","126.45","30,082,439"
10/31/2023,"125.06","125.37","122.69","124.08","26,292,340"
10/30/2023,"123.21","125.40","122.75","124.46","28,940,080"
10/27/2023,"122.88","123.31","120.21","122.17","44,566,512"
10/26/2023,"123.27","124.33","121.27","122.28","57,061,141"
10/25/2023,"128.16","128.31","125.07","125.61","84,366,211"
10/24/2023,"137.83","139.36","137.42","138.81","44,814,320"
10/23/2023,"135.04","137.66","133.95","136.50","26,317,930"
10/20/2023,"137.33","137.87","135.08","135.60","26,335,670"
10/19/2023,"138.50","139.66","137.38","137.75","26,066,010"
10/18/2023,"139.45","140.72","137.38","137.96","23,375,000"
10/17/2023,"138.63","139.90","137.18","139.72","23,515,779"
10/16/2023,"138.17","139.63","137.99","139.10","28,501,869"
