Date,Open,High,Low,Close,Volume
01/10/2024,"360.17","372.94","359.08","370.47","22,117,211"
01/09/2024,"356.40","360.64","355.36","357.43","13,463,870"
01/08/2024,"354.70","358.98","352.05","358.66","13,890,220"
01/05/2024,"346.99","353.50","346.26","351.95","13,750,910"
01/04/2024,"344.50","348.15","343.40","347.12","12,099,900"
01/03/2024,"344.98","347.95","343.18","344.47","15,451,130"
01/02/2024,"351.32","353.16","340.01","346.29","19,042,150"
12/29/2023,"358.99","360.00","351.82","353.96","14,987,090"
12/28/2023,"359.70","361.90","357.81","358.32","11,798,810"
12/27/2023,"356.07","359.00","355.31","357.83","13,207,930"
12/26/2023,"354.99","356.98","353.45","354.83","9,898,614"
12/22/2023,"355.58","357.20","351.22","353.39","11,772,780"
12/21/2023,"352.98","356.41","349.21","354.09","15,289,560"
12/20/2023,"348.65","354.96","347.79","349.28","16,369,850"
12/19/2023,"345.58","353.60","345.12","350.36","17,729,359"
12/18/2023,"337.48","347.56","337.02","344.62","18,993,850"
12/15/2023,"331.99","338.66","331.22","334.92","31,776,850"
12/14/2023,"333.85","334.70","328.64","333.17","19,607,340"
12/13/2023,"333.93","338.37","332.64","334.74","16,353,320"
12/12/2023,"324.60","334.47","324.56","334.22","18,485,461"
12/11/2023,"329.40","329.89","320.00","325.28","25,802,461"
12/08/2023,"323.09","333.17","323.00","332.75","14,087,350"
12/07/2023,"317.77","328.24","317.77","326.59","15,905,080"
12/06/2023,"321.93","322.25","317.04","317.45","11,294,340"
12/05/2023,"318.98","321.88","315.39","318.29","16,952,131"
12/04/2023,"317.29","320.86","313.66","320.02","19,037,080"
12/01/2023,"325.48","326.86","320.76","324.82","15,276,380"
11/30/2023,"331.89","333.50","322.40","327.15","23,146,391"
11/29/2023,"339.69","339.90","330.78","332.20","16,024,500"
11/28/2023,"333.40","339.38","333.40","338.99","12,637,250"
11/27/2023,"336.18","339.90","334.20","334.70","15,684,450"
11/24/2023,"340.13","341.86","336.77","338.23","5,467,488"
11/22/2023,"339.21","342.92","338.58","341.49","10,715,180"
11/21/2023,"338.33","339.90","335.90","336.98","12,027,860"
11/20/2023,"334.89","341.87","334.19","339.97","16,976,131"
11/17/2023,"330.26","335.50","329.35","335.04","14,519,210"
11/16/2023,"329.37","334.58","326.38","334.19","18,932,570"
11/15/2023,"337.93","338.40","330.02","332.71","14,531,180"
11/14/2023,"334.54","338.10","333.33","336.31","17,179,400"
11/13/2023,"326.20","332.33","325.70","329.19","16,908,949"
11/10/2023,"319.94","329.10","319.46","328.77","19,116,920"
11/09/2023,"319.42","324.18","318.80","320.55","16,103,070"
11/08/2023,"318.14","321.33","314.88","319.78","13,609,700"
11/07/2023,"317.06","321.00","315.12","318.82","14,055,610"
11/06/2023,"315.98","318.33","314.45","315.80","12,887,700"
11/03/2023,"312.55","315.55","311.02","314.60","16,764,320"
11/02/2023,"317.30","318.82","308.33","310.87","21,631,820"
11/01/2023,"301.85","312.74","301.85","311.85","20,434,580"
10/31/2023,"303.31","303.68","296.86","301.27","19,434,170"
10/30/2023,"299.09","309.40","299.05","302.66","28,435,051"
10/27/2023,"294.48","299.31","292.97","296.73","29,596,260"
10/26/2023,"295.00","295.00","279.40","288.35","66,684,141"
10/25/2023,"310.00","310.88","298.84","299.53","42,192,473"
10/24/2023,"316.78","318.35","310.63","312.55","19,525,490"
10/23/2023,"309.50","317.36","307.26","314.01","17,796,789"
10/20/2023,"314.14","315.30","306.47","308.65","22,312,279"
10/19/2023,"319.88","321.89","311.75","312.81","18,709,160"
10/18/2023,"321.39","325.94","315.56","316.97","16,851,000"
10/17/2023,"318.18","324.40","317.30","324.00","16,387,801"
10/16/2023,"318.64","321.82","315.52","321.15","16,536,109"
10/13/2023,"323.53","325.05","312.37","314.69","21,360,789"
10/12/2023,"328.00","330.54","322.69","324.16","20,530,520"
10/11/2023,"323.01","328.84","322.95","327.82","22,036,301"
10/10/2023,"319.12","324.66","318.16","321.84","19,037,971"
10/09/2023,"312.50","320.33","311.82","318.36","22,503,660"
10/06/2023,"301.44","316.31","300.91","315.43","21,803,859"
10/05/2023,"304.63","306.21","299.50","304.79","19,129,961"
10/04/2023,"298.73","306.90","298.50","305.58","16,880,480"
10/03/2023,"304.26","306.77","299.64","300.94","17,362,250"
10/02/2023,"302.74","307.18","301.63","306.82","16,265,570"
09/29/2023,"307.38","310.64","299.36","300.21","25,373,699"
09/28/2023,"298.94","306.33","296.70","303.96","22,167,080"
09/27/2023,"300.45","301.30","286.79","297.74","36,429,840"
09/26/2023,"297.66","300.30","296.01","298.96","19,417,160"
09/25/2023,"295.64","300.95","293.70","300.83","18,987,010"
09/22/2023,"299.30","305.38","298.27","299.08","25,369,590"
09/21/2023,"295.70","300.26","293.27","295.73","21,319,580"
09/20/2023,"305.05","308.06","299.43","299.67","19,379,520"
09/19/2023,"302.48","306.17","299.81","305.07","15,931,620"
09/18/2023,"298.19","303.60","297.80","302.55","14,234,160"
09/15/2023,"311.61","312.00","298.75","300.31","28,131,141"
09/14/2023,"306.74","312.87","305.03","311.72","19,343,100"
09/13/2023,"302.36","307.18","301.32","305.06","13,210,920"
09/12/2023,"306.33","308.66","300.23","301.66","13,480,400"
09/11/2023,"301.41","309.04","301.28","307.56","19,489,330"
