Date,Open,High,Low,Close,Volume
01/10/2024,"376.37","384.17","376.32","382.77","25,514,250"
01/09/2024,"372.01","375.99","371.19","375.79","20,829,949"
01/08/2024,"369.30","375.20","369.01","374.69","23,133,971"
01/05/2024,"368.97","372.06","366.50","367.75","21,004,580"
01/04/2024,"370.67","373.10","367.17","367.94","20,901,500"
01/03/2024,"369.01","373.26","368.51","370.60","23,083,471"
01/02/2024,"373.86","375.90","366.77","370.87","25,258,631"
12/29/2023,"376.00","377.16","373.48","376.04","18,730,840"
12/28/2023,"375.37","376.46","374.16","375.28","14,327,010"
12/27/2023,"373.69","375.06","372.81","374.07","14,905,410"
12/26/2023,"375.00","376.94","373.50","374.66","12,673,050"
12/22/2023,"373.68","375.18","372.71","374.58","17,107,480"
12/21/2023,"372.56","374.41","370.04","373.54","17,708,010"
12/20/2023,"375.00","376.03","370.53","370.62","26,316,650"
12/19/2023,"371.49","373.26","369.84","373.26","20,603,660"
12/18/2023,"369.45","373.00","368.68","372.65","21,802,881"
12/15/2023,"366.85","372.40","366.28","370.73","78,502,320"
12/14/2023,"373.31","373.76","364.13","365.93","43,277,461"
12/13/2023,"376.02","377.64","370.77","374.37","30,955,529"
12/12/2023,"370.85","374.42","370.46","374.38","24,838,250"
12/11/2023,"368.48","371.60","366.10","371.30","27,708,760"
12/08/2023,"369.20","374.46","368.23","374.23","20,154,369"
12/07/2023,"368.23","371.45","366.32","370.95","23,118,859"
12/06/2023,"373.54","374.18","368.03","368.80","21,182,070"
12/05/2023,"366.45","373.08","365.62","372.52","23,065,039"
12/04/2023,"369.10","369.52","362.90","369.14","32,063,311"
12/01/2023,"376.76","378.16","371.31","374.51","33,040,469"
11/30/2023,"378.49","380.09","375.47","378.91","30,554,420"
11/29/2023,"383.76","384.30","377.44","378.85","28,963,400"
11/28/2023,"378.35","383.00","378.16","382.70","20,453,109"
11/27/2023,"376.78","380.64","376.20","378.61","22,179,230"
11/24/2023,"377.33","377.97","375.14","377.43","10,176,650"
11/22/2023,"378.00","379.79","374.97","377.85","23,361,180"
11/21/2023,"375.67","376.22","371.12","373.07","28,423,150"
11/20/2023,"371.22","378.87","371.00","377.44","52,528,961"
11/17/2023,"373.61","374.37","367.00","369.85","40,325,367"
11/16/2023,"370.96","376.35","370.18","376.17","27,182,320"
11/15/2023,"371.28","373.13","367.11","369.67","26,860,100"
11/14/2023,"371.01","371.95","367.35","370.27","27,683,859"
11/13/2023,"368.22","368.47","365.90","366.68","19,986,510"
11/10/2023,"361.49","370.10","361.07","369.67","28,065,160"
11/09/2023,"362.30","364.79","360.36","360.69","24,847,330"
11/08/2023,"361.68","363.87","360.55","363.20","26,767,830"
11/07/2023,"359.40","362.46","357.63","360.53","25,833,930"
11/06/2023,"353.45","357.54","353.35","356.53","23,828,301"
11/03/2023,"349.63","354.39","347.33","352.80","23,637,670"
11/02/2023,"347.24","348.83","344.77","348.32","24,348,070"
11/01/2023,"339.79","347.42","339.65","346.07","28,158,820"
10/31/2023,"338.85","339.00","334.69","338.11","20,265,279"
10/30/2023,"333.41","339.45","331.83","337.31","22,828,080"
10/27/2023,"330.43","336.72","328.40","329.81","29,856,520"
10/26/2023,"340.54","341.63","326.94","327.89","37,828,539"
10/25/2023,"345.02","346.20","337.62","340.67","55,053,832"
10/24/2023,"331.30","331.84","327.60","330.53","31,153,570"
10/23/2023,"325.47","332.73","324.39","329.32","24,374,750"
10/20/2023,"331.72","331.92","325.45","326.67","25,027,721"
10/19/2023,"332.15","336.88","330.91","331.32","25,052,070"
10/18/2023,"332.49","335.59","328.30","330.11","23,153,600"
10/17/2023,"329.59","333.46","327.41","332.06","18,338,520"
10/16/2023,"331.05","336.14","330.60","332.64","22,158,051"
10/13/2023,"332.38","333.83","326.36","327.73","21,085,699"
10/12/2023,"330.57","333.63","328.72","331.16","19,313,100"
10/11/2023,"331.21","332.82","329.14","332.42","20,063,250"
10/10/2023,"330.96","331.10","327.67","328.39","20,557,090"
10/09/2023,"324.75","330.30","323.18","329.82","19,891,180"
10/06/2023,"316.55","329.19","316.30","327.26","25,673,631"
10/05/2023,"319.09","319.98","314.90","319.36","16,965,631"
10/04/2023,"314.03","320.04","314.00","318.96","20,720,141"
10/03/2023,"320.83","321.39","311.22","313.39","21,033,490"
10/02/2023,"316.28","321.89","315.18","321.80","20,570,010"
09/29/2023,"317.75","319.47","314.98","315.75","24,147,301"
09/28/2023,"310.99","315.48","309.45","313.64","19,683,561"
09/27/2023,"312.30","314.30","309.69","312.79","19,410,080"
09/26/2023,"315.13","315.88","310.02","312.14","26,297,570"
09/25/2023,"316.59","317.67","315.00","317.54","17,835,961"
09/22/2023,"321.32","321.45","316.15","317.01","21,447,891"
09/21/2023,"319.26","325.35","315.00","319.53","35,560,359"
09/20/2023,"329.51","329.59","320.51","320.77","21,436,529"
09/19/2023,"326.17","329.39","324.51","328.65","16,514,490"
09/18/2023,"327.80","330.40","326.36","329.06","16,834,211"
