Date,Open,High,Low,Close,Volume
01/10/2024,"22.67","26.55","22.62","26.50","9,337,395"
01/09/2024,"22.84","23.40","22.65","22.68","1,101,816"
01/08/2024,"21.32","23.27","21.31","23.12","2,467,585"
01/05/2024,"21.33","21.74","21.23","21.32","1,242,889"
01/04/2024,"21.02","21.67","20.81","21.50","1,893,486"
01/03/2024,"21.40","22.07","21.18","21.20","2,183,140"
01/02/2024,"22.82","22.97","21.89","21.92","1,730,762"
12/29/2023,"23.59","23.65","23.00","23.15","816,983"
12/28/2023,"23.57","23.67","23.31","23.63","767,247"
12/27/2023,"23.99","24.16","23.35","23.58","1,062,124"
12/26/2023,"23.93","24.19","23.85","23.92","949,560"
12/22/2023,"24.07","24.36","23.61","23.93","1,082,861"
12/21/2023,"24.00","24.28","23.53","23.88","865,742"
12/20/2023,"24.06","24.43","23.50","23.52","1,196,086"
12/19/2023,"23.92","24.33","23.78","24.23","1,720,741"
12/18/2023,"23.07","23.93","23.07","23.74","1,290,866"
12/15/2023,"23.42","23.57","22.91","23.33","2,030,816"
12/14/2023,"23.01","24.38","23.01","23.29","2,325,335"
12/13/2023,"21.70","22.47","21.34","22.45","1,750,330"
12/12/2023,"22.37","22.43","21.71","21.77","1,604,629"
12/11/2023,"21.94","22.46","21.77","22.38","1,035,513"
12/08/2023,"21.75","22.16","21.46","22.07","1,411,936"
12/07/2023,"21.72","22.01","21.30","21.90","1,287,686"
12/06/2023,"21.95","22.51","21.75","21.93","1,444,024"
12/05/2023,"21.92","22.13","21.50","21.72","2,201,022"
12/04/2023,"21.63","22.60","21.63","22.20","2,717,107"
12/01/2023,"22.93","23.23","20.72","21.73","6,314,149"
11/30/2023,"22.33","22.47","21.57","21.80","2,541,230"
11/29/2023,"22.04","22.52","21.89","22.00","1,498,119"
11/28/2023,"21.46","21.90","21.34","21.61","1,395,155"
11/27/2023,"21.56","21.81","21.40","21.54","761,691"
11/24/2023,"21.29","21.84","21.23","21.81","419,123"
11/22/2023,"21.44","21.83","21.24","21.31","1,075,571"
11/21/2023,"21.90","22.01","21.26","21.26","1,630,793"
11/20/2023,"21.70","22.40","21.65","22.16","909,181"
11/17/2023,"21.30","21.79","21.20","21.77","1,166,612"
11/16/2023,"21.74","21.78","21.13","21.17","1,349,295"
11/15/2023,"21.99","22.40","21.71","21.87","1,294,577"
11/14/2023,"22.23","22.43","21.55","21.79","1,663,249"
11/13/2023,"21.77","21.77","20.80","21.18","4,135,542"
11/10/2023,"20.58","21.83","20.49","21.69","4,414,400"
11/09/2023,"21.51","21.62","20.69","20.70","741,207"
11/08/2023,"21.60","21.75","20.97","21.18","1,849,570"
11/07/2023,"21.58","22.18","21.45","21.63","1,323,315"
11/06/2023,"21.55","21.64","20.93","21.22","1,238,227"
11/03/2023,"20.87","21.58","20.50","21.43","1,631,570"
11/02/2023,"20.00","20.72","19.99","20.44","1,115,197"
11/01/2023,"20.14","20.14","19.18","19.67","1,108,540"
10/31/2023,"19.94","20.25","19.71","20.17","625,705"
10/30/2023,"19.88","20.30","19.65","19.96","978,143"
10/27/2023,"19.92","20.03","19.38","19.64","1,027,451"
10/26/2023,"20.23","20.60","19.69","19.85","1,393,544"
10/25/2023,"20.44","20.58","19.94","19.96","1,092,008"
10/24/2023,"19.98","20.71","19.90","20.68","1,400,059"
10/23/2023,"19.39","19.96","19.19","19.72","964,040"
10/20/2023,"20.30","20.31","19.60","19.65","1,177,916"
10/19/2023,"20.60","20.87","20.26","20.30","1,152,184"
10/18/2023,"20.65","20.75","20.34","20.41","1,088,106"
10/17/2023,"20.50","21.24","20.48","20.89","1,345,720"
10/16/2023,"20.76","21.44","20.50","20.73","1,374,582"
10/13/2023,"20.56","20.69","20.28","20.59","1,834,564"
10/12/2023,"20.93","21.07","20.27","20.50","1,450,135"
10/11/2023,"21.43","21.56","20.68","20.79","12,515,270"
10/10/2023,"20.20","21.76","20.13","21.45","3,245,076"
10/09/2023,"21.47","21.96","21.41","21.83","628,052"
10/06/2023,"21.00","21.99","20.95","21.88","1,338,817"
10/05/2023,"21.80","21.92","21.26","21.28","1,232,727"
10/04/2023,"21.70","22.02","21.35","21.93","827,841"
10/03/2023,"21.97","22.38","21.44","21.63","1,225,853"
10/02/2023,"22.38","22.63","22.16","22.50","939,265"
09/29/2023,"22.53","22.91","22.25","22.49","757,028"
09/28/2023,"21.90","22.53","21.67","22.39","681,686"
09/27/2023,"21.98","22.30","21.76","22.00","1,148,932"
09/26/2023,"22.11","22.51","21.63","21.82","1,751,080"
09/25/2023,"22.35","22.73","22.22","22.38","1,001,655"
09/22/2023,"22.80","22.91","22.52","22.60","983,228"
09/21/2023,"23.15","23.29","22.41","22.54","1,159,302"
09/20/2023,"23.70","23.97","23.42","23.45","813,513"
09/19/2023,"23.67","23.80","23.26","23.55","994,456"
09/18/2023,"23.57","23.95","23.12","23.78","993,355"
09/15/2023,"23.20","23.75","22.96","23.62","2,075,959"
09/14/2023,"23.48","23.60","22.96","23.39","843,994"
09/13/2023,"23.58","23.74","23.35","23.36","668,847"
09/12/2023,"23.55","23.92","23.55","23.69","614,353"
09/11/2023,"23.46","23.95","23.36","23.85","775,825"
09/08/2023,"23.50","23.84","23.24","23.40","769,842"
09/07/2023,"23.50","23.75","23.30","23.42","1,098,238"
09/06/2023,"23.89","24.13","23.70","23.99","891,066"
