Date,Open,High,Low,Close,Volume
01/10/2024,"2.9400","2.9500","2.8600","2.9500","3,099,990"
01/09/2024,"2.8900","2.9500","2.8000","2.9400","6,478,325"
01/08/2024,"2.9500","2.9900","2.8500","2.9100","6,964,208"
01/05/2024,"2.8700","3.0800","2.8000","2.9700","5,734,374"
01/04/2024,"2.9000","2.9279","2.8200","2.8900","9,491,213"
01/03/2024,"3.0800","3.0900","2.8650","2.9200","6,507,211"
01/02/2024,"3.1100","3.2750","3.0400","3.1600","4,660,318"
12/29/2023,"3.2800","3.2800","3.1600","3.1600","2,606,751"
12/28/2023,"3.1700","3.2800","3.1200","3.2700","5,128,830"
12/27/2023,"3.1200","3.2550","3.0400","3.1900","4,177,545"
12/26/2023,"3.0100","3.1950","2.9600","3.0800","4,036,342"
12/22/2023,"3.0000","3.1000","2.9600","3.0000","3,846,878"
12/21/2023,"2.9500","3.0600","2.9500","3.0500","4,165,902"
12/20/2023,"3.0400","3.0900","2.8800","2.8900","5,467,069"
12/19/2023,"2.9000","3.0700","2.8800","3.0400","8,296,750"
12/18/2023,"3.1000","3.1000","2.8600","2.8900","6,840,292"
12/15/2023,"3.3100","3.4000","3.0200","3.0700","17,464,920"
12/14/2023,"3.5800","3.7700","3.2400","3.2500","7,841,604"
12/13/2023,"3.2400","3.5100","3.1350","3.4800","4,093,031"
12/12/2023,"3.3200","3.3800","3.2300","3.2400","3,138,184"
12/11/2023,"3.3500","3.4400","3.2550","3.3000","3,115,042"
12/08/2023,"3.4200","3.4800","3.3000","3.3300","3,007,692"
12/07/2023,"3.4600","3.5000","3.3300","3.4400","4,805,626"
12/06/2023,"3.4100","3.6100","3.4000","3.4800","4,925,259"
12/05/2023,"3.6800","3.7300","3.3600","3.3700","4,518,057"
12/04/2023,"3.4100","3.6750","3.4100","3.6200","7,360,396"
12/01/2023,"2.9200","3.4600","2.8590","3.4600","11,099,310"
11/30/2023,"2.7400","3.0900","2.7210","3.0200","21,673,061"
11/29/2023,"3.1600","3.3100","2.6300","2.7300","34,500,340"
11/28/2023,"3.8400","3.8850","3.6300","3.8400","5,447,165"
11/27/2023,"3.9300","3.9600","3.7300","3.7600","7,790,089"
11/24/2023,"3.8700","4.0400","3.8500","4.0000","1,227,025"
11/22/2023,"3.9700","4.0700","3.8550","3.8700","2,037,153"
11/21/2023,"3.8400","3.9700","3.7800","3.8900","3,257,696"
11/20/2023,"3.9700","4.0800","3.8550","3.9900","3,537,482"
11/17/2023,"3.6500","3.9300","3.6050","3.9100","7,013,143"
11/16/2023,"3.7400","3.7400","3.5900","3.6200","3,548,762"
11/15/2023,"3.7800","4.0700","3.7300","3.7400","5,262,559"
11/14/2023,"3.6700","3.8900","3.6700","3.7800","3,649,639"
11/13/2023,"3.4700","3.5800","3.4200","3.5300","2,103,306"
11/10/2023,"3.4600","3.5700","3.3850","3.5200","3,136,762"
11/09/2023,"3.6100","3.6100","3.3900","3.4600","3,556,614"
11/08/2023,"3.6600","3.7000","3.5300","3.5900","3,517,539"
11/07/2023,"3.7200","3.8301","3.6300","3.6800","4,479,194"
11/06/2023,"3.7900","3.8800","3.6700","3.7600","2,665,168"
11/03/2023,"3.7500","3.9102","3.7200","3.8100","3,439,601"
11/02/2023,"3.4500","3.6500","3.4200","3.6500","5,411,808"
11/01/2023,"3.4700","3.5100","3.2000","3.3300","3,570,358"
10/31/2023,"3.4000","3.4900","3.1600","3.4600","4,112,553"
10/30/2023,"3.3300","3.5950","3.3300","3.4500","4,506,168"
10/27/2023,"3.4700","3.4900","3.2700","3.2900","3,535,637"
10/26/2023,"3.2300","3.4500","3.1950","3.4200","4,839,171"
10/25/2023,"3.2100","3.2500","3.0600","3.2400","3,627,631"
10/24/2023,"3.3300","3.4400","3.2200","3.2200","2,694,731"
10/23/2023,"3.3600","3.4600","3.3100","3.3300","2,917,298"
10/20/2023,"3.4100","3.5500","3.4100","3.4400","1,927,756"
10/19/2023,"3.6400","3.6400","3.4400","3.4600","2,929,811"
10/18/2023,"3.5900","3.6300","3.4500","3.5600","3,329,478"
10/17/2023,"3.4300","3.6800","3.4100","3.6600","4,259,278"
10/16/2023,"3.2100","3.5000","3.1800","3.4800","8,407,392"
10/13/2023,"3.2900","3.3301","3.1500","3.1600","5,819,457"
10/12/2023,"3.4000","3.4000","3.2000","3.2500","5,859,740"
10/11/2023,"3.6500","3.7400","3.3900","3.4100","4,381,231"
10/10/2023,"3.4000","3.7100","3.4000","3.6500","5,750,426"
10/09/2023,"3.4800","3.5700","3.4200","3.4300","3,425,922"
10/06/2023,"3.5200","3.5500","3.4100","3.5100","4,902,158"
10/05/2023,"3.7400","3.8050","3.5600","3.5800","3,809,602"
10/04/2023,"3.7500","3.8200","3.6800","3.7700","6,784,946"
10/03/2023,"3.9400","3.9500","3.6600","3.7600","5,524,268"
10/02/2023,"4.0600","4.1700","3.9500","3.9800","4,631,328"
09/29/2023,"3.9600","4.1200","3.9600","4.0900","5,402,348"
09/28/2023,"3.8400","3.9600","3.7700","3.9100","3,562,829"
09/27/2023,"3.7400","3.8850","3.7200","3.8200","4,498,848"
09/26/2023,"3.7600","3.8350","3.7200","3.7400","3,882,099"
09/25/2023,"3.8700","3.9500","3.7650","3.8100","4,507,703"
09/22/2023,"3.7800","3.9400","3.7500","3.9100","6,545,023"
09/21/2023,"3.9400","3.9583","3.7700","3.7900","5,147,307"
09/20/2023,"4.1600","4.1800","3.9800","3.9900","4,932,955"
09/19/2023,"4.0700","4.1800","4.0300","4.1300","5,388,795"
09/18/2023,"4.3100","4.3400","4.0300","4.0600","7,956,648"
09/15/2023,"4.6000","4.6150","4.3000","4.3000","11,322,430"
09/14/2023,"4.7800","4.7800","4.6025","4.6300","6,138,749"
09/13/2023,"4.8500","4.8500","4.7200","4.7600","3,335,411"
