Date,Open,High,Low,Close
01/09/2024,"6,803.56","6,803.56","6,803.56","6,803.56"
01/08/2024,"6,805.20","6,805.20","6,805.20","6,805.20"
01/05/2024,"6,699.73","6,699.73","6,699.73","6,699.73"
01/04/2024,"6,691.05","6,691.05","6,691.05","6,691.05"
01/03/2024,"6,720.86","6,720.86","6,720.86","6,720.86"
01/02/2024,"6,773.73","6,773.73","6,773.73","6,773.73"
12/29/2023,"6,828.96","6,828.96","6,828.96","6,828.96"
12/28/2023,"6,846.05","6,846.05","6,846.05","6,846.05"
12/27/2023,"6,849.48","6,849.48","6,849.48","6,849.48"
12/26/2023,"6,840.82","6,840.82","6,840.82","6,840.82"
12/22/2023,"6,813.00","6,813.00","6,813.00","6,813.00"
12/21/2023,"6,803.51","6,803.51","6,803.51","6,803.51"
12/20/2023,"6,730.77","6,730.77","6,730.77","6,730.77"
12/19/2023,"6,825.62","6,825.62","6,825.62","6,825.62"
12/18/2023,"6,787.83","6,787.83","6,787.83","6,787.83"
12/15/2023,"6,749.46","6,749.46","6,749.46","6,749.46"
12/14/2023,"6,739.70","6,739.70","6,739.70","6,739.70"
12/13/2023,"6,733.57","6,733.57","6,733.57","6,733.57"
12/12/2023,"6,653.91","6,653.91","6,653.91","6,653.91"
12/11/2023,"6,623.40","6,623.40","6,623.40","6,623.40"
12/08/2023,"6,601.09","6,601.09","6,601.09","6,601.09"
12/07/2023,"6,571.29","6,571.29","6,571.29","6,571.29"
12/06/2023,"6,511.29","6,511.29","6,511.29","6,511.29"
12/05/2023,"6,540.32","6,540.32","6,540.32","6,540.32"
12/04/2023,"6,535.85","6,535.85","6,535.85","6,535.85"
12/01/2023,"6,581.09","6,581.09","6,581.09","6,581.09"
11/30/2023,"6,551.08","6,551.08","6,551.08","6,551.08"
11/29/2023,"6,534.83","6,534.83","6,534.83","6,534.83"
11/28/2023,"6,550.08","6,550.08","6,550.08","6,550.08"
11/27/2023,"6,543.05","6,543.05","6,543.05","6,543.05"
11/24/2023,"6,554.90","6,554.90","6,554.90","6,554.90"
11/22/2023,"6,555.35","6,555.35","6,555.35","6,555.35"
11/21/2023,"6,528.62","6,528.62","6,528.62","6,528.62"
11/20/2023,"6,544.24","6,544.24","6,544.24","6,544.24"
11/17/2023,"6,490.07","6,490.07","6,490.07","6,490.07"
11/16/2023,"6,486.15","6,486.15","6,486.15","6,486.15"
11/15/2023,"6,480.64","6,480.64","6,480.64","6,480.64"
11/14/2023,"6,474.76","6,474.76","6,474.76","6,474.76"
11/13/2023,"6,365.19","6,365.19","6,365.19","6,365.19"
11/10/2023,"6,365.98","6,365.98","6,365.98","6,365.98"
11/09/2023,"6,260.39","6,260.39","6,260.39","6,260.39"
11/08/2023,"6,312.59","6,312.59","6,312.59","6,312.59"
11/07/2023,"6,305.45","6,305.45","6,305.45","6,305.45"
11/06/2023,"6,278.93","6,278.93","6,278.93","6,278.93"
11/03/2023,"6,258.10","6,258.10","6,258.10","6,258.10"
11/02/2023,"6,205.41","6,205.41","6,205.41","6,205.41"
11/01/2023,"6,097.29","6,097.29","6,097.29","6,097.29"
10/31/2023,"6,027.99","6,027.99","6,027.99","6,027.99"
10/30/2023,"5,996.56","5,996.56","5,996.56","5,996.56"
10/27/2023,"5,928.50","5,928.50","5,928.50","5,928.50"
10/26/2023,"5,938.87","5,938.87","5,938.87","5,938.87"
10/25/2023,"6,027.87","6,027.87","6,027.87","6,027.87"
10/24/2023,"6,128.68","6,128.68","6,128.68","6,128.68"
10/23/2023,"6,086.89","6,086.89","6,086.89","6,086.89"
10/20/2023,"6,087.98","6,087.98","6,087.98","6,087.98"
10/19/2023,"6,165.77","6,165.77","6,165.77","6,165.77"
10/18/2023,"6,212.29","6,212.29","6,212.29","6,212.29"
10/17/2023,"6,290.33","6,290.33","6,290.33","6,290.33"
10/16/2023,"6,295.53","6,295.53","6,295.53","6,295.53"
10/13/2023,"6,229.64","6,229.64","6,229.64","6,229.64"
10/12/2023,"6,271.00","6,271.00","6,271.00","6,271.00"
10/11/2023,"6,307.16","6,307.16","6,307.16","6,307.16"
10/10/2023,"6,282.07","6,282.07","6,282.07","6,282.07"
10/09/2023,"6,253.67","6,253.67","6,253.67","6,253.67"
10/06/2023,"6,210.09","6,210.09","6,210.09","6,210.09"
10/05/2023,"6,132.43","6,132.43","6,132.43","6,132.43"
10/04/2023,"6,145.58","6,145.58","6,145.58","6,145.58"
10/03/2023,"6,094.59","6,094.59","6,094.59","6,094.59"
10/02/2023,"6,181.16","6,181.16","6,181.16","6,181.16"
09/29/2023,"6,159.69","6,159.69","6,159.69","6,159.69"
09/28/2023,"6,172.73","6,172.73","6,172.73","6,172.73"
09/27/2023,"6,133.57","6,133.57","6,133.57","6,133.57"
09/26/2023,"6,124.25","6,124.25","6,124.25","6,124.25"
09/25/2023,"6,213.02","6,213.02","6,213.02","6,213.02"
09/22/2023,"6,183.30","6,183.30","6,183.30","6,183.30"
09/21/2023,"6,191.30","6,191.30","6,191.30","6,191.30"
09/20/2023,"6,293.54","6,293.54","6,293.54","6,293.54"
09/19/2023,"6,361.56","6,361.56","6,361.56","6,361.56"
09/18/2023,"6,374.91","6,374.91","6,374.91","6,374.91"
09/15/2023,"6,369.84","6,369.84","6,369.84","6,369.84"
09/14/2023,"6,459.08","6,459.08","6,459.08","6,459.08"
09/13/2023,"6,408.78","6,408.78","6,408.78","6,408.78"
09/12/2023,"6,397.99","6,397.99","6,397.99","6,397.99"
09/11/2023,"6,451.57","6,451.57","6,451.57","6,451.57"
09/08/2023,"6,403.10","6,403.10","6,403.10","6,403.10"
09/07/2023,"6,394.50","6,394.50","6,394.50","6,394.50"
09/06/2023,"6,421.05","6,421.05","6,421.05","6,421.05"
09/05/2023,"6,473.92","6,473.92","6,473.92","6,473.92"
09/01/2023,"6,490.23","6,490.23","6,490.23","6,490.23"
08/31/2023,"6,482.94","6,482.94","6,482.94","6,482.94"
08/30/2023,"6,486.62","6,486.62","6,486.62","6,486.62"
08/29/2023,"6,457.27","6,457.27","6,457.27","6,457.27"
08/28/2023,"6,355.60","6,355.60","6,355.60","6,355.60"
08/25/2023,"6,314.15","6,314.15","6,314.15","6,314.15"
08/24/2023,"6,268.12","6,268.12","6,268.12","6,268.12"
08/23/2023,"6,368.53","6,368.53","6,368.53","6,368.53"
08/22/2023,"6,296.42","6,296.42","6,296.42","6,296.42"
08/21/2023,"6,309.71","6,309.71","6,309.71","6,309.71"
08/18/2023,"6,251.96","6,251.96","6,251.96","6,251.96"
08/17/2023,"6,253.68","6,253.68","6,253.68","6,253.68"
08/16/2023,"6,306.24","6,306.24","6,306.24","6,306.24"
08/15/2023,"6,361.15","6,361.15","6,361.15","6,361.15"
08/14/2023,"6,427.38","6,427.38","6,427.38","6,427.38"
08/11/2023,"6,377.33","6,377.33","6,377.33","6,377.33"
08/10/2023,"6,388.26","6,388.26","6,388.26","6,388.26"
08/09/2023,"6,386.06","6,386.06","6,386.06","6,386.06"
08/08/2023,"6,434.09","6,434.09","6,434.09","6,434.09"
08/07/2023,"6,458.39","6,458.39","6,458.39","6,458.39"
08/04/2023,"6,403.74","6,403.74","6,403.74","6,403.74"
08/03/2023,"6,436.23","6,436.23","6,436.23","6,436.23"
08/02/2023,"6,449.20","6,449.20","6,449.20","6,449.20"
08/01/2023,"6,550.26","6,550.26","6,550.26","6,550.26"
07/31/2023,"6,567.80","6,567.80","6,567.80","6,567.80"
07/28/2023,"6,561.32","6,561.32","6,561.32","6,561.32"
07/27/2023,"6,483.73","6,483.73","6,483.73","6,483.73"
07/26/2023,"6,512.87","6,512.87","6,512.87","6,512.87"
07/25/2023,"6,525.31","6,525.31","6,525.31","6,525.31"
07/24/2023,"6,493.08","6,493.08","6,493.08","6,493.08"
07/21/2023,"6,472.30","6,472.30","6,472.30","6,472.30"
07/20/2023,"6,469.37","6,469.37","6,469.37","6,469.37"
07/19/2023,"6,534.69","6,534.69","6,534.69","6,534.69"
07/18/2023,"6,525.34","6,525.34","6,525.34","6,525.34"
07/17/2023,"6,478.50","6,478.50","6,478.50","6,478.50"
07/14/2023,"6,452.76","6,452.76","6,452.76","6,452.76"
07/13/2023,"6,452.73","6,452.73","6,452.73","6,452.73"
07/12/2023,"6,391.16","6,391.16","6,391.16","6,391.16"
07/11/2023,"6,343.11","6,343.11","6,343.11","6,343.11"
07/10/2023,"6,308.74","6,308.74","6,308.74","6,308.74"
07/07/2023,"6,295.45","6,295.45","6,295.45","6,295.45"
07/06/2023,"6,317.52","6,317.52","6,317.52","6,317.52"
07/05/2023,"6,366.36","6,366.36","6,366.36","6,366.36"
07/03/2023,"6,380.78","6,380.78","6,380.78","6,380.78"
06/30/2023,"6,382.04","6,382.04","6,382.04","6,382.04"
06/29/2023,"6,299.40","6,299.40","6,299.40","6,299.40"
06/28/2023,"6,282.89","6,282.89","6,282.89","6,282.89"
06/27/2023,"6,282.00","6,282.00","6,282.00","6,282.00"
06/26/2023,"6,205.90","6,205.90","6,205.90","6,205.90"
06/23/2023,"6,246.35","6,246.35","6,246.35","6,246.35"
06/22/2023,"6,295.32","6,295.32","6,295.32","6,295.32"
06/21/2023,"6,255.09","6,255.09","6,255.09","6,255.09"
06/20/2023,"6,294.73","6,294.73","6,294.73","6,294.73"
06/16/2023,"6,319.05","6,319.05","6,319.05","6,319.05"
06/15/2023,"6,345.98","6,345.98","6,345.98","6,345.98"
06/14/2023,"6,268.66","6,268.66","6,268.66","6,268.66"
06/13/2023,"6,261.02","6,261.02","6,261.02","6,261.02"
06/12/2023,"6,216.05","6,216.05","6,216.05","6,216.05"
06/09/2023,"6,144.40","6,144.40","6,144.40","6,144.40"
06/08/2023,"6,133.36","6,133.36","6,133.36","6,133.36"
06/07/2023,"6,085.17","6,085.17","6,085.17","6,085.17"
06/06/2023,"6,126.49","6,126.49","6,126.49","6,126.49"
06/05/2023,"6,121.93","6,121.93","6,121.93","6,121.93"
06/02/2023,"6,131.00","6,131.00","6,131.00","6,131.00"
06/01/2023,"6,050.43","6,050.43","6,050.43","6,050.43"
05/31/2023,"5,987.19","5,987.19","5,987.19","5,987.19"
05/30/2023,"6,023.30","6,023.30","6,023.30","6,023.30"
05/26/2023,"6,023.14","6,023.14","6,023.14","6,023.14"
05/25/2023,"5,935.95","5,935.95","5,935.95","5,935.95"
05/24/2023,"5,871.54","5,871.54","5,871.54","5,871.54"
05/23/2023,"5,905.68","5,905.68","5,905.68","5,905.68"
05/22/2023,"5,973.58","5,973.58","5,973.58","5,973.58"
05/19/2023,"5,975.58","5,975.58","5,975.58","5,975.58"
05/18/2023,"5,981.06","5,981.06","5,981.06","5,981.06"
05/17/2023,"5,916.71","5,916.71","5,916.71","5,916.71"
05/16/2023,"5,853.64","5,853.64","5,853.64","5,853.64"
05/15/2023,"5,880.37","5,880.37","5,880.37","5,880.37"
05/12/2023,"5,863.68","5,863.68","5,863.68","5,863.68"
05/11/2023,"5,872.38","5,872.38","5,872.38","5,872.38"
05/10/2023,"5,877.91","5,877.91","5,877.91","5,877.91"
05/09/2023,"5,842.73","5,842.73","5,842.73","5,842.73"
05/08/2023,"5,871.48","5,871.48","5,871.48","5,871.48"
05/05/2023,"5,867.79","5,867.79","5,867.79","5,867.79"
05/04/2023,"5,763.64","5,763.64","5,763.64","5,763.64"
05/03/2023,"5,806.30","5,806.30","5,806.30","5,806.30"
05/02/2023,"5,844.23","5,844.23","5,844.23","5,844.23"
05/01/2023,"5,900.02","5,900.02","5,900.02","5,900.02"
04/28/2023,"5,900.75","5,900.75","5,900.75","5,900.75"
04/27/2023,"5,854.98","5,854.98","5,854.98","5,854.98"
04/26/2023,"5,738.28","5,738.28","5,738.28","5,738.28"
04/25/2023,"5,747.44","5,747.44","5,747.44","5,747.44"
04/24/2023,"5,838.89","5,838.89","5,838.89","5,838.89"
04/21/2023,"5,831.48","5,831.48","5,831.48","5,831.48"
04/20/2023,"5,821.94","5,821.94","5,821.94","5,821.94"
04/19/2023,"5,860.16","5,860.16","5,860.16","5,860.16"
04/18/2023,"5,867.21","5,867.21","5,867.21","5,867.21"
04/17/2023,"5,862.80","5,862.80","5,862.80","5,862.80"
04/14/2023,"5,855.29","5,855.29","5,855.29","5,855.29"
04/13/2023,"5,875.53","5,875.53","5,875.53","5,875.53"
04/12/2023,"5,786.95","5,786.95","5,786.95","5,786.95"
04/11/2023,"5,813.16","5,813.16","5,813.16","5,813.16"
04/10/2023,"5,823.59","5,823.59","5,823.59","5,823.59"
04/06/2023,"5,819.93","5,819.93","5,819.93","5,819.93"
04/05/2023,"5,800.76","5,800.76","5,800.76","5,800.76"
04/04/2023,"5,821.21","5,821.21","5,821.21","5,821.21"
04/03/2023,"5,853.32","5,853.32","5,853.32","5,853.32"
03/31/2023,"5,824.02","5,824.02","5,824.02","5,824.02"
03/30/2023,"5,738.73","5,738.73","5,738.73","5,738.73"
03/29/2023,"5,698.45","5,698.45","5,698.45","5,698.45"
03/28/2023,"5,620.81","5,620.81","5,620.81","5,620.81"
03/27/2023,"5,632.41","5,632.41","5,632.41","5,632.41"
03/24/2023,"5,634.83","5,634.83","5,634.83","5,634.83"
03/23/2023,"5,605.89","5,605.89","5,605.89","5,605.89"
03/22/2023,"5,575.54","5,575.54","5,575.54","5,575.54"
03/21/2023,"5,657.32","5,657.32","5,657.32","5,657.32"
03/20/2023,"5,585.43","5,585.43","5,585.43","5,585.43"
03/17/2023,"5,537.32","5,537.32","5,537.32","5,537.32"
03/16/2023,"5,582.10","5,582.10","5,582.10","5,582.10"
03/15/2023,"5,481.58","5,481.58","5,481.58","5,481.58"
03/14/2023,"5,508.93","5,508.93","5,508.93","5,508.93"
03/13/2023,"5,417.47","5,417.47","5,417.47","5,417.47"
03/10/2023,"5,403.96","5,403.96","5,403.96","5,403.96"
03/09/2023,"5,477.24","5,477.24","5,477.24","5,477.24"
03/08/2023,"5,563.72","5,563.72","5,563.72","5,563.72"
03/07/2023,"5,555.50","5,555.50","5,555.50","5,555.50"
03/06/2023,"5,631.76","5,631.76","5,631.76","5,631.76"
03/03/2023,"5,626.82","5,626.82","5,626.82","5,626.82"
03/02/2023,"5,535.97","5,535.97","5,535.97","5,535.97"
03/01/2023,"5,487.78","5,487.78","5,487.78","5,487.78"
02/28/2023,"5,511.38","5,511.38","5,511.38","5,511.38"
02/27/2023,"5,529.26","5,529.26","5,529.26","5,529.26"
02/24/2023,"5,509.45","5,509.45","5,509.45","5,509.45"
02/23/2023,"5,579.17","5,579.17","5,579.17","5,579.17"
02/22/2023,"5,546.34","5,546.34","5,546.34","5,546.34"
02/21/2023,"5,551.66","5,551.66","5,551.66","5,551.66"
02/17/2023,"5,664.36","5,664.36","5,664.36","5,664.36"
02/16/2023,"5,684.95","5,684.95","5,684.95","5,684.95"
02/15/2023,"5,768.95","5,768.95","5,768.95","5,768.95"
02/14/2023,"5,752.47","5,752.47","5,752.47","5,752.47"
02/13/2023,"5,746.80","5,746.80","5,746.80","5,746.80"
02/10/2023,"5,679.08","5,679.08","5,679.08","5,679.08"
02/09/2023,"5,671.90","5,671.90","5,671.90","5,671.90"
02/08/2023,"5,717.14","5,717.14","5,717.14","5,717.14"
02/07/2023,"5,786.52","5,786.52","5,786.52","5,786.52"
02/06/2023,"5,704.67","5,704.67","5,704.67","5,704.67"
02/03/2023,"5,746.06","5,746.06","5,746.06","5,746.06"
02/02/2023,"5,810.15","5,810.15","5,810.15","5,810.15"
02/01/2023,"5,716.26","5,716.26","5,716.26","5,716.26"
01/31/2023,"5,647.70","5,647.70","5,647.70","5,647.70"
01/30/2023,"5,566.41","5,566.41","5,566.41","5,566.41"
01/27/2023,"5,647.18","5,647.18","5,647.18","5,647.18"
01/26/2023,"5,632.54","5,632.54","5,632.54","5,632.54"
01/25/2023,"5,563.65","5,563.65","5,563.65","5,563.65"
01/24/2023,"5,566.50","5,566.50","5,566.50","5,566.50"
01/23/2023,"5,572.73","5,572.73","5,572.73","5,572.73"
01/20/2023,"5,502.45","5,502.45","5,502.45","5,502.45"
01/19/2023,"5,394.04","5,394.04","5,394.04","5,394.04"
01/18/2023,"5,431.59","5,431.59","5,431.59","5,431.59"
01/17/2023,"5,513.84","5,513.84","5,513.84","5,513.84"
01/13/2023,"5,521.87","5,521.87","5,521.87","5,521.87"
01/12/2023,"5,497.57","5,497.57","5,497.57","5,497.57"
01/11/2023,"5,477.69","5,477.69","5,477.69","5,477.69"
01/10/2023,"5,408.09","5,408.09","5,408.09","5,408.09"
