Date,Open,High,Low,Close,Volume
01/10/2024,"68.25","68.30","67.58","68.18","2,078,300"
01/09/2024,"67.46","68.93","67.21","68.31","2,178,163"
01/08/2024,"67.20","68.96","66.78","68.39","2,341,323"
01/05/2024,"66.53","68.03","66.47","66.96","1,959,507"
01/04/2024,"67.00","67.54","66.40","66.90","1,962,107"
01/03/2024,"68.31","68.49","67.12","67.17","2,493,517"
01/02/2024,"71.10","71.45","69.00","69.15","2,869,406"
12/29/2023,"72.98","73.60","71.81","71.91","2,431,454"
12/28/2023,"73.77","74.00","72.92","73.09","2,330,200"
12/27/2023,"74.30","74.77","73.16","73.73","2,392,314"
12/26/2023,"72.61","74.35","72.37","74.21","2,939,931"
12/22/2023,"72.12","72.84","71.67","72.50","2,386,871"
12/21/2023,"70.58","72.04","70.26","71.90","3,798,688"
12/20/2023,"71.33","71.78","69.85","69.86","3,512,731"
12/19/2023,"71.57","72.79","71.40","72.42","3,014,015"
12/18/2023,"70.86","72.64","70.82","71.36","2,967,417"
12/15/2023,"72.25","72.46","70.97","71.57","19,859,051"
12/14/2023,"72.12","73.94","71.51","72.14","5,929,613"
12/13/2023,"71.31","71.35","68.85","71.22","4,510,699"
12/12/2023,"71.98","72.17","71.03","71.28","4,712,810"
12/11/2023,"71.82","73.74","70.95","72.58","6,531,303"
12/08/2023,"71.70","73.96","71.17","73.06","5,031,081"
12/07/2023,"71.00","72.04","70.63","71.93","4,312,461"
12/06/2023,"69.58","71.44","68.75","70.94","4,731,852"
12/05/2023,"67.91","69.26","67.09","68.72","3,753,135"
12/04/2023,"69.80","70.26","65.60","68.16","8,401,060"
12/01/2023,"67.76","70.46","67.58","70.29","4,485,389"
11/30/2023,"68.39","68.68","67.25","67.83","3,923,808"
11/29/2023,"68.43","69.09","67.86","67.95","3,554,562"
11/28/2023,"65.29","67.64","64.91","67.53","5,131,946"
11/27/2023,"64.39","65.73","64.06","65.55","3,829,974"
11/24/2023,"64.03","64.98","63.82","64.53","1,842,335"
11/22/2023,"66.05","66.53","63.77","63.83","5,099,053"
11/21/2023,"63.66","66.55","61.83","65.94","13,812,390"
11/20/2023,"64.59","66.08","64.48","66.00","10,951,990"
11/17/2023,"64.43","64.76","63.57","64.12","4,215,447"
11/16/2023,"63.29","63.98","63.10","63.40","2,441,089"
11/15/2023,"63.16","65.40","63.15","63.74","3,720,425"
11/14/2023,"63.00","64.05","62.07","62.77","4,447,045"
11/13/2023,"61.96","62.44","61.32","61.54","2,258,453"
11/10/2023,"60.67","62.22","60.24","62.06","2,672,869"
11/09/2023,"61.98","62.00","60.62","60.65","2,581,458"
11/08/2023,"62.42","62.69","61.50","61.83","1,993,804"
11/07/2023,"62.46","63.21","61.99","62.69","2,375,263"
11/06/2023,"63.14","63.31","61.23","61.82","3,058,056"
11/03/2023,"61.98","63.32","61.76","62.99","3,147,772"
11/02/2023,"61.00","61.70","60.35","61.28","3,031,287"
11/01/2023,"60.00","60.36","59.35","60.03","2,108,042"
10/31/2023,"60.22","60.43","59.49","59.98","1,734,616"
10/30/2023,"59.57","60.52","59.00","60.00","2,174,592"
